epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7314,5.33083,5.68395,4.74594,0,0,0,0,5.6321,5.30724,4.15948,3.75e-05,3.75e-05,3.75e-05
2,32.5855,5.47779,5.44962,4.66707,0,0,0,0,5.63338,5.30891,4.16019,8.57675e-05,8.57675e-05,8.57675e-05
3,48.6079,5.01875,5.61647,4.51945,0,0,0,0,5.63524,5.31134,4.16148,0.000132055,0.000132055,0.000132055
4,64.7152,4.64292,5.31794,4.43217,0,0,0,0,5.63831,5.31515,4.16402,0.000176362,0.000176362,0.000176362
5,80.8721,4.83407,4.98371,4.24363,0,0,0,0,5.64139,5.31887,4.16678,0.00021869,0.00021869,0.00021869
6,96.5736,4.87541,4.86142,4.13131,0,0,0,0,5.64598,5.32341,4.17117,0.000259038,0.000259038,0.000259038
7,113.713,4.36127,4.60308,4.11335,0,0,0,0,5.65203,5.32916,4.17724,0.000297405,0.000297405,0.000297405
8,133.077,4.57484,4.47245,3.94336,0,0,0,0,5.65988,5.33557,4.18557,0.000333792,0.000333792,0.000333792
9,152.089,4.15376,4.23138,3.95045,0,0,0,0,5.66947,5.34172,4.19666,0.0003682,0.0003682,0.0003682
10,171.246,4.41047,4.3182,3.6986,0,0,0,0,5.6808,5.34692,4.21058,0.000400628,0.000400628,0.000400628
11,190.243,3.79915,3.85994,3.71528,0,0,0,0,5.69547,5.3503,4.22999,0.000431075,0.000431075,0.000431075
12,209.149,4.05653,3.88848,3.62845,0,0,0,0,5.71185,5.34522,4.25331,0.000459543,0.000459543,0.000459543
13,228.522,3.52497,3.70841,3.57085,0,0,0,0,5.73023,5.33836,4.28102,0.00048603,0.00048603,0.00048603
14,247.277,3.73639,3.68535,3.53039,0,0,0,0,5.74132,5.33949,4.2982,0.000510537,0.000510537,0.000510537
15,261.923,3.40525,3.43521,3.30548,0,0,0,0,5.76256,5.3336,4.33285,0.000533065,0.000533065,0.000533065
16,275.453,3.49026,3.22036,3.17987,0,0,0,0,5.77407,5.32889,4.3522,0.000553613,0.000553613,0.000553613
17,291.327,3.42324,3.33607,3.24432,0,0,0,0,5.78952,5.32404,4.37854,0.00057218,0.00057218,0.00057218
18,305.827,3.20145,3.22865,3.26335,0,0,0,0,5.81791,5.31262,4.43289,0.000588767,0.000588767,0.000588767
19,318.723,3.08681,2.93777,3.03784,0,0,0,0,5.82507,5.29931,4.44793,0.000603375,0.000603375,0.000603375
20,331.613,3.01932,2.99586,3.00678,0,0,0,0,5.82824,5.28193,4.45532,0.000616003,0.000616003,0.000616003
21,345.058,3.12052,3.23211,3.0266,0,0,0,0,5.82845,5.28749,4.45926,0.00062665,0.00062665,0.00062665
22,362.599,3.10965,2.9571,2.97807,0,0,0,0,5.82886,5.31172,4.46129,0.000635318,0.000635318,0.000635318
23,381.379,3.11157,2.93331,2.89079,0,0,0,0,5.82326,5.33967,4.45142,0.000642005,0.000642005,0.000642005
24,400.083,3.01718,2.88176,2.9537,0,0,0,0,5.81662,5.34227,4.43828,0.000646713,0.000646713,0.000646713
25,413.427,2.63711,2.8677,2.8111,0,0,0,0,5.8118,5.32429,4.42838,0.00064944,0.00064944,0.00064944
26,426.712,2.72437,2.81104,2.94272,0,0,0,0,5.77912,5.26311,4.3784,0.00063125,0.00063125,0.00063125
27,441.103,2.58622,2.74141,2.68522,0.0002,0.015,0.00409,0.0008,5.63804,5.1272,4.26531,0.0006065,0.0006065,0.0006065
28,460.686,2.51358,2.82753,2.87479,0.11558,0.01047,0.01391,0.00379,4.92779,4.58493,3.90238,0.00058175,0.00058175,0.00058175
29,479.048,2.76598,2.83261,2.73518,0.07874,0.07,0.03518,0.0121,3.59096,3.67866,3.38157,0.000557,0.000557,0.000557
